;integrations_themes;integrations_keywords
1557;platform,app_lib_service;tmpnb,docker,thebe
1558;feature,app_lib_service;ides?(\W|$),pycharm
1562;language,feature;them(e|ing),R(\W|$),memory
1563;app_lib_service;tex(\W|$)
1564;feature,app_lib_service;emacs,sublime,editor
1565;language;scala,R(\W|$)
1566;version,feature;version(ing)?\Wcontrol,plugin,database
1568;version,feature;collab,git(\W|$),diff/merge,history
1574;app_lib_service;github
1575;feature,version,app_lib_service;wordpress,git(\W|$),diffing,idea,terminal
1579;feature,app_lib_service;co-author,vispy,web app,interactiv(e|ity),plot(ting),3d
1582;language;R(\W|$)
1583;app_lib_service;zeppelin,pycharm
1587;feature;table of content,presentation
1588;app_lib_service;markdown
1589;version;git(\W|$)
1590;feature,app_lib_service;native,finder,github
1597;feature;3d
1598;app_lib_service;html,emacs,mp4
1600;feature,app_lib_service;vispy,widgets,dashboard,bokeh
1601;language,app_lib_service;d3,java,github
1602;app_lib_service;vim
1603;feature,app_lib_service;co-author,vispy,web app,interactiv(e|ity),plot(ting),3d
1604;language,feature;python(3|2)?,debug,object inspector,auto ?complet(e|ion)
1606;version;git(\W|$)
1607;app_lib_service,language,feature;documentation,latex,scipy,math
1608;language;R(\W|$)
1609;version,app_lib_service;git(\W|$),(ana)?conda
1616;;
1617;language;bash
1618;feature;widgets,interactiv(e|ity)
1620;app_lib_service;spark
1621;app_lib_service;d3,github
1622;version,app_lib_service;version(ing)?\Wcontrol,(ana)?conda
1623;feature;debug,spreadsheet,editor
1624;app_lib_service;rise(\W|$)
1626;feature;physics
1629;feature,version,app_lib_service;version(ing)?\Wcontrol,git(\W|$),visuali(s|z)ation,bokeh
1630;app_lib_service;cantor,dill
1635;feature;full screen,api(\W|$)
1637;feature;variable
1638;feature;shortcut,keyboard
1644;feature,language,app_lib_service;gui,python(3|2)?,debug,java
1645;feature,app_lib_service;debug,profil(e|ing),(ana)?conda
1647;language,feature;management,sql
1650;version;git(\W|$)
1654;version;git(\W|$)
1657;feature,app_lib_service;video,matplotlib,animation,reports
1661;feature;figures
1662;feature,language,platform,app_lib_service;gantt,timeline,chart(s|ing),html,js,google
1668;app_lib_service;vtk,matplotlib,mayavi
1669;language,app_lib_service;latex,bibtex
1672;version,app_lib_service;vim,emacs,git(\W|$)
1677;language;R(\W|$),sas
1681;language,app_lib_service;scala,spark
1683;version,feature;version(ing)?\Wcontrol,ides?(\W|$),writing
1690;feature;progress
1691;version,language;latex,git(\W|$)
