;roles_roles;roles_keywords;roles_primary
1186;researcher;research(er)?;researcher
1188;researcher;research(er)?;researcher
1192;engineer;^((?!software).)*engineer;engineer
1200;developer;software (engineer|architect);developer
1204;scientist;cosmological;scientist
1212;researcher,engineer;research(er)?,^((?!software).)*engineer;engineer
1214;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1218;scientist;bioinformatic(s|ian);scientist
1220;researcher,engineer;research(er)?,^((?!software).)*engineer;engineer
1221;statistician;mathematician;statistician
1226;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1230;developer,engineer;develop(er|ment),^((?!software).)*engineer;developer
1233;scientist;neuroscientist,^((?!data).)*scientist;scientist
1234;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1236;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
1239;engineer;^((?!software).)*engineer;engineer
1241;developer;software (engineer|architect);developer
1242;student;student;student
1243;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
1247;student;student;student
1249;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1253;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1254;developer;develop(er|ment);developer
1255;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1257;student;student;student
1258;;;
1261;student;student;student
1264;financial_analyst;financial (model(er|ing)|analyst);financial_analyst
1266;developer;software (engineer|architect);developer
1267;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1268;scientist;^((?!data).)*scientist;scientist
1270;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1272;engineer;^((?!software).)*engineer;engineer
1274;researcher;research(er)?;researcher
1277;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1281;student;student;student
1282;scientist;neuroscientist,^((?!data).)*scientist;scientist
1285;independent;consultant;independent
1287;;;
1291;educator;professor;educator
1296;data_scientist;data analys(t|is);data_scientist
1301;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1306;developer;develop(er|ment);developer
1308;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1314;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1317;engineer;^((?!software).)*engineer;engineer
1323;developer;software (engineer|architect);developer
1324;data_scientist;data analys(t|is);data_scientist
1325;independent;consultant;independent
1332;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1333;scientist,researcher;^((?!data).)*scientist,research(er)?;scientist
1334;researcher,educator;research(er)?,teach(er|ing);educator
1335;scientist;ecologi(st|cal);scientist
1337;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1342;developer;software (engineer|architect);developer
1343;educator;educator;educator
1347;data_scientist;data analys(t|is);data_scientist
1350;engineer;^((?!software).)*engineer;engineer
1354;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1355;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1356;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
1359;researcher;research(er)?;researcher
1360;engineer;^((?!software).)*engineer;engineer
1363;developer,student;develop(er|ment),student;student
1364;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
1366;student,financial_analyst,researcher;student,financial (model(er|ing)|analyst),research(er)?;student
1368;data_scientist;data analys(t|is);data_scientist
1369;data_scientist;machine learning;data_scientist
1370;researcher;research(er)?;researcher
1371;researcher;research(er)?;researcher
1372;presenter;demonstrator;presenter
1375;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1378;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
1379;;;
1381;scientist;neuroscientist,^((?!data).)*scientist;scientist
1382;scientist,researcher;(astro|bio|geo)?physic(s|ist)?,research(er)?;researcher
1383;scientist,researcher;^((?!data).)*scientist,research(er)?;scientist
1384;engineer;^((?!software).)*engineer;engineer
1389;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1390;data_scientist;data analys(t|is);data_scientist
1393;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1395;developer;software (engineer|architect);developer
1400;developer;develop(er|ment);developer
1402;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1406;financial_analyst;financial (model(er|ing)|analyst);financial_analyst
1408;data_scientist;data explorer;data_scientist
1409;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1412;marketer;market(er|ing);marketer
1415;data_scientist;data analys(t|is);data_scientist
1416;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1417;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1419;;;
1420;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1421;statistician,data_scientist;statistician,data(\s|-)scien(ce|tist);data_scientist
1425;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1426;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1427;analyst,data_scientist;analytics,data analys(t|is);analyst
1428;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1431;student,engineer;student,^((?!software).)*engineer;student
1432;analyst;^((?!(data|financial)).)*analyst;analyst
1434;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1437;student,data_scientist;student,data(\s|-)scien(ce|tist);student
1438;student;student;student
1441;student;student;student
1442;analyst;^((?!(data|financial)).)*analyst;analyst
1444;student,data_scientist;student,machine learning;student
1446;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
1447;educator;teach(er|ing);educator
1448;data_scientist;data analys(t|is);data_scientist
1450;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
